path_id,lat,lon,airline,iata,cnt
88,33.94253611,-118.4080744,AA,LAX,162
89,36.12447667,-86.67818222,AA,BNA,56
89,33.94253611,-118.4080744,AA,LAX,56
90,42.3643475,-71.00517917,AA,BOS,168
90,33.94253611,-118.4080744,AA,LAX,168
91,39.64256778,-106.9176953,AA,EGE,56
91,33.94253611,-118.4080744,AA,LAX,56
92,40.63975111,-73.77892556,AA,JFK,548
92,33.94253611,-118.4080744,AA,LAX,548
93,19.73876583,-156.0456314,AA,KOA,56
93,33.94253611,-118.4080744,AA,LAX,56
94,33.94253611,-118.4080744,AA,LAX,112
94,20.89864972,-156.4304578,AA,OGG,112
95,33.94253611,-118.4080744,AA,LAX,496
95,41.979595,-87.90446417,AA,ORD,496
96,33.94253611,-118.4080744,AA,LAX,166
96,38.74768694,-90.35998972,AA,STL,166
97,36.12447667,-86.67818222,AA,BNA,102
97,40.77724306,-73.87260917,AA,LGA,102
98,32.89595056,-97.0372,AA,DFW,776
98,40.77724306,-73.87260917,AA,LGA,776
