Date,GOOG,APPL,AMZN,TSLA,NFLX,FB,SBUX
2016-05-27,1975000,36229500,2249200,3650300,9092100,13464400,6631100
2016-05-31,2129500,42307200,3618300,2789000,8725700,23547600,12044000
2016-06-01,1253600,29173300,3263100,2982700,8393400,15029500,8761600
2016-06-02,1337600,40191600,3020700,2009400,7979900,13228300,8305000
2016-06-03,1226300,28062900,3367300,2229000,9224000,14135100,6649200
2016-06-06,1565300,23292500,2704800,2249500,6828100,12744700,9900900
2016-06-07,1336200,22409500,2732500,6213600,6474700,17103000,7173100
2016-06-08,1583700,20848100,2223400,5972000,9423900,14505600,7623900
2016-06-09,988900,26601400,2170300,4492100,8923800,13859200,5927900
2016-06-10,1216400,31712900,3425700,6026600,12907900,18510800,8118700
2016-06-13,1258900,38020500,3352200,4193000,13484300,31718200,7928700
2016-06-14,1306100,31931900,2506900,3580200,9480400,17618500,8036500
2016-06-15,1214500,29445200,2709400,2908500,7675400,19819400,7447300
2016-06-16,1982500,31326800,3098000,2440300,7550800,19236300,7968000
2016-06-17,3402400,61008200,5897800,3112600,8046800,24644300,9503000
2016-06-20,2082500,34411900,3677200,3555500,9026400,20785400,7286700
2016-06-21,1465600,35546400,2137500,4529000,15199700,19166300,7445100
2016-06-22,1184300,29219100,2260500,23742400,9454700,14846300,7215400
2016-06-23,2171400,32240200,2825000,10130700,10819000,16176900,5569400
2016-06-24,4449000,75311400,7632500,7026500,11248600,40643100,14654700
2016-06-27,2629000,45489600,5568000,7205400,13730500,36130400,11631900
2016-06-28,2173800,40444900,4037000,6212400,11545600,26813800,8417000
2016-06-29,1932600,36531000,3070100,5994900,11687100,20968300,11103800
2016-06-30,1597700,35836400,2855100,4843100,9099000,23192700,10215200
2016-07-01,1344700,26026500,2920400,5400000,16167200,14980000,8330300
2016-07-05,1462600,27705200,2431400,5175300,25879400,14207000,7274200
2016-07-06,1411900,30949100,3938200,4919900,16301200,24337600,8474200
2016-07-07,1303100,25139600,2936700,3599700,9902700,16630200,6807500
2016-07-08,1575200,28912100,3429200,4074800,8335400,18142600,12655500
2016-07-11,1111800,23794900,3195300,5429800,13276200,17711600,10394400
2016-07-12,1336900,24167500,5623700,4571300,11617400,15217700,10998500
2016-07-13,935900,25892200,4142300,3567100,8768900,16207700,12183600
2016-07-14,950200,38919000,2390500,2675800,9885000,14579700,11353600
2016-07-15,1279300,30137000,3121400,2234200,9041900,16646000,8494000
2016-07-18,1295500,36493900,2954900,3412100,28669700,20868400,7614600
2016-07-19,1227500,23779900,2216800,3115100,55681200,21541300,8719800
2016-07-20,1289700,26276000,2214000,2568500,23525100,20046500,9446400
2016-07-21,1026300,32702000,2317100,4428700,16084000,17801700,16151700
2016-07-22,1259800,28313700,2277700,2579700,11363900,18422400,23899300
2016-07-25,1032400,40382900,2679300,4490700,14135000,18487400,10486000
2016-07-26,1186700,56239800,2529700,3430000,19577600,17612000,10106700
2016-07-27,1497100,92344800,2831800,2885200,8672000,52654200,6540000
2016-07-28,3530200,39869800,7617600,2419100,6227700,78955800,6830100
2016-07-29,3841500,27733700,6777100,3070800,6960200,35058800,6914900
2016-08-01,2700500,38167900,3578200,4016300,10666900,25006900,7997600
2016-08-02,1784500,33816600,3603300,3934400,9836200,23968400,7574600
2016-08-03,1287400,30202600,3581500,3887800,7030900,18525300,11484800
2016-08-04,1139400,27408700,3176000,4122800,6026400,21066000,11146600
2016-08-05,1801200,40553400,2704400,3205200,18364800,20184000,9206200
2016-08-08,1107900,28037200,1986300,2263600,10135400,15233900,9129300
2016-08-09,1318900,26315200,1876100,2207800,9175400,19621000,7136700
2016-08-10,786400,24008500,1604300,2338300,6511100,10670100,6991100
2016-08-11,971100,27484500,2016300,1875800,8535500,11729500,6185000
2016-08-12,740500,18660400,1563300,1813500,6592900,12159000,5039800
2016-08-15,938200,25868200,2118500,2034300,7304600,19295100,5968700
2016-08-16,1028000,33794400,1604600,2267100,6311300,14222400,5750900
2016-08-17,924200,25356000,1891100,1787100,8315600,13794200,7410600
2016-08-18,719400,21984700,1458800,1714500,7252600,12400800,5390800
2016-08-19,861500,25368100,2343200,1659500,6942900,11688300,8981200
2016-08-22,951400,25820200,1679300,2065500,5830500,14386400,8837800
2016-08-23,928200,21257700,1524100,4784400,5239100,13309500,7827900
2016-08-24,1072000,23675100,1744100,2570700,6276500,12243700,13200500
2016-08-25,926900,25086200,1623000,1762500,10823100,10730800,6686600
2016-08-26,1166700,27766300,2776800,2239000,6617600,17504800,6940500
2016-08-29,841000,24970300,2185700,3257100,7972700,15925900,6984900
2016-08-30,1130000,24863900,1709200,3168900,6093500,17804300,6377700
2016-08-31,1248600,29662400,1633800,3276500,4690600,14200600,6996900
2016-09-01,925100,26701500,1792300,7943100,4148600,13536100,6230100
2016-09-02,1072700,26802500,2181800,5977400,4247200,12118800,7441500
2016-09-06,1442800,26880400,3719800,4390600,9036100,26278400,6472900
2016-09-07,893700,42364300,2424600,3640900,6468500,27990800,11428600
